ID,Description,Calories,Protein,TotalFat,Carbohydrate,Sugar,Cholesterol,Sodium,Iron,Calcium,SaturatedFat,Potassium,VitaminC,VitaminE,VitaminD
22126,"LOMA LINDA BIG FRANKS,CND,UNPREP",218,21.5,12.1,5.8,0.4,0,426,2.5,17,1.6,116,0,,
22247,"MACARONI & CHS,CND ENTREE",82,3.38,2.46,11.52,0.5,6,302,0.9,35,0.881,84,0,0.05,0
22401,"SPAGHETTI W/ MEAT SAU,FRZ ENTREE",90,5.05,1.01,15.24,2.6,6,212,1.25,18,0.35,144,5.4,0.5,0
22522,"PASTA W/SLICED FRANKS IN TOMATO SAU,CND ENTREE",90,4.37,2.38,12.7,3.17,9,238,0.91,60,0.992,191,3.8,0.74,0.4
22528,"TURKEY POT PIE,FRZ ENTREE",176,6.5,8.8,17.7,,16,350,1,,2.88,,,,
22529,"BEEF POT PIE,FRZ ENTREE,PREP",220,7.25,11.39,22.05,,21,365,1.25,14,4.149,115,0.3,0.26,
22535,"HOT POCKETS,CROISSANT POCKTS CHIK,BROC&CHDR STUFD SNDWCH,FRZ",235,8.9,8.6,30.4,7.6,29,346,2.97,152,2.62,188,4.9,0.29,0.2
22537,"HOT POCKETS HAM 'N CHS STUFFED SNDWCH,FRZ",241,9.16,9.14,30.55,7.6,23,504,2,152,3.545,188,0.1,0.29,0.2
22899,"RAVIOLI,CHEESE-FILLED,CND",79,2.48,1.45,13.64,3.72,3,306,0.74,33,0.723,232,0,0.85,0
22900,"RAVIOLI,MEAT-FILLED,W/ TOMATO SAU OR MEAT SAU,CND",99,3.41,3.41,13.73,2.4,5,354,1.05,13,1.427,169,0,0.55,0
22901,"TORTELLINI,PASTA W/ CHS FILLING,FRESH-REFRIGERATED",307,13.5,7.23,47,0.95,42,616,1.5,152,3.6,89,0,0.16,0
22904,"CHILI CON CARNE W/BNS,CND ENTREE",107,5.8,3.47,13.1,1.87,9,449,1.34,33,1.253,264,0.2,0.5,0
22905,"BEEF STEW,CANNED ENTREE",99,4.41,5.53,7.85,1.76,13,388,2.48,12,2.185,163,0.7,0.27,0
22906,"CHICKEN POT PIE,FRZ ENTREE,PREP",214,6.08,10.83,23.03,3.81,24,380,1.1,29,3.613,124,0.3,0.16,0.1
22907,"PASTA W/MEATBALLS IN TOMATO SAU,CND ENTREE",107,4.17,5.1,11.11,2.83,9,291,1.31,12,1.98,141,3,0.77,0.2
22908,"BEEF,CORNED BF HASH,W/ POTATO,CND",164,8.73,10.24,9.27,0.34,32,412,1,19,4.32,172,0.9,0.04,0
22910,"LASAGNA,CHS,FRZ,PREP",130,6.54,5.33,13.84,4.23,13,284,1.27,111,2.11,182,17.1,0.88,
22911,"CHILI,NO BNS,CND ENTREE",118,7.53,7.1,6.1,,21,389,2.01,30,2.255,185,1.8,,
22912,"SPAGHETTI,W/ MEATBALLS,CND",107,4.17,5.1,11.11,,9,406,1.31,12,1.98,141,,,
22914,"PASTA W/ TOMATO SAU,NO MEAT,CND",70,2.22,0.44,14.22,4,1,272,0.91,13,0.136,192,0,0.62,0
22915,"LASAGNA W/ MEAT & SAU,LOW-FAT,FRZ ENTREE",101,6.81,2.23,13.5,,7,181,0.97,108,0.967,150,17.9,,
22916,"LASAGNA W/ MEAT & SAU,FRZ ENTREE",127,8.26,4.73,12.87,2.13,15,280,0.85,102,2.245,158,21.5,,
22919,"MACARONI & CHS,CND,MICROWAVABLE",134,5.98,5.99,13.96,1.41,20,335,0.91,57,3.398,72,0,,
22929,"CAMPBELL,SPAGHETTIOS,MINI BF RAVIOLI IN MEAT SAU",99,4.25,1.74,16.6,5.41,4,409,0.69,15,0.772,,0.5,,0
22930,"CAMPBELL,SPAGHETTIOS,SPAGHETTI IN TOMATO & CHS SAU",80,2.78,0.6,15.87,5.16,2,377,0.29,8,0.198,,0,,0
22931,"CAMPBELL SOUP COMPANY,SPAGHETTIOS,SPAGHETTIOS ORIGINAL",67,2.38,0.4,13.89,4.37,2,238,0.71,8,0.198,179,1,0,0
22932,"CAMPBELL SOUP COMPANY,SPAGHETTIOS,SPAGHETTIOS A TO Z'S",67,2.38,0.4,13.89,4.76,2,238,0.71,60,0.198,179,1,0,0.4
22937,"CAMPBELL SOUP COMPANY,SPAGHETTIOS,SPAGHETTIOS IN MEAT SAU",69,3.17,0.79,12.3,4.76,4,353,1.43,60,0.397,,0,,0.4
22938,"CAMPBELL ,SPAGHETTIOS,SPAGHETTIOS PLUS CA",67,2.38,0.4,13.89,5.16,2,238,0.71,119,0.198,119,1,0,1
22939,"CAMPBELL ,SPAGHETTIOS RAVIOLIOS BF RAVIOLI IN MEAT SAU",106,4.37,3.17,15.08,3.57,8,433,0.71,16,1.389,,0,,0.4
22940,"CAMPBELL SOUP COMPANY,SPAGHETTIOS,SPAGHETTIO'S W/ MEATBALLS",95,4.37,2.78,12.7,3.17,8,238,1.43,60,0.992,282,2.4,,0.4
22941,"CAMPBELL ,SPAGHETTIOS,SPAGHETTIO'S W/ SLICED FRANKS",87,3.57,2.38,12.7,3.57,8,238,1.07,60,0.992,333,2.4,0,0.4
22942,"CAMPBELL,SPAGHETTIOS,SPAGHETTIOS A TO Z'S W/ MEATBALLS",95,4.37,2.78,12.7,3.17,8,238,0.43,60,0.992,282,2.4,0,0.4
22943,"SUPPER BAKES MEAL,CHEESY CHICK W/ PASTA (CHICK NOT INCLUDED)",198,7.06,4.71,31.76,4.71,6,988,,,1.176,,,,
22944,"SUPPER BAKES MEAL KITS,CREAMY STROGANOFF SAU W/ PASTA",147,4.8,3.2,24.8,2.4,8,520,,,1.2,,,,
22945,"SUPPER BAKES MEAL KITS,GARLIC CHICK W/ PASTA",220,9.76,0.98,42.93,6.83,5,741,,,0.488,,,,
22946,"CAMPBELL, SUPPER BAKES MEAL KITS,HERB CHICK W/ RICE",197,4.26,1.06,42.55,2.13,5,830,,,0.532,,0,,
22947,"CAMPBELL SUPPER BAKES MEAL KITS,LEMON CHICK W/ HERB RICE",210,4.26,1.06,45.74,3.19,5,830,,,0.532,,,,
22948,"CAMPBELL,SUPPER MEAL KITS,SAVORY PORK CHOPS W/ HERB STUFFING",181,5.91,1.18,36.64,4.73,6,922,,,0.591,,,,
22949,"SUPPER BAKES MEAL KITS,SOUTHWESTERN-STYLE CHICK W/RICE",189,4.94,1.23,39.51,4.94,6,741,,,0.617,,,,
22950,"SUPPER BAKES MEAL,CHICK W/ STUFFING (CHICK NOT INCLUDED)",190,5.94,3.56,34.44,3.56,6,879,,,1.188,,,,
22951,"CAMPBELL SOUP COMPANY,SWANSON,CHICK A LA KING",71,4.7,4.03,4.03,0.67,7,460,0,0,1.174,,0,,
22952,"CAMPBELL SOUP COMPANY,SWANSON,CHICK & DUMPLINGS",93,4.45,4.05,9.72,0.81,14,401,0.29,16,1.822,,0,,
22953,"EGG ROLLS,PORK,REFR,HTD",222,9.94,7.17,29.5,5.32,14,525,1.55,34,1.588,212,29.3,0.27,0.1
22954,"EGG ROLLS,CHICK,REFR,HTD",197,10.44,4.51,28.54,5.57,14,560,1.69,47,0.964,281,11.2,0.37,0
22955,"EGG ROLLS,VEG,REFR,HTD",196,6.62,4.67,31.99,6.85,0,561,1.95,46,0.756,250,13.7,0.54,0
22956,"LASAGNA,VEG,FRZ,BKD",139,6.87,6.04,14.18,2.54,14,352,0.55,150,2.422,170,1.1,0.46,0
22957,"TKY,STUFFING,MSHD POTATO W/GRAVY,ASSORTED VEG,FRZ,MICROWAVE",128,6.97,3.89,16.32,4.82,14,326,0.79,27,0.877,230,0.8,0.24,0.1
22958,"RICE BOWL W/ CHICK,FRZ ENTREE,PREP",126,5.65,1.56,22.46,4.07,16,333,0.35,13,0.327,123,3,0.23,0
22959,"MACARONI & CHS DINNER W/ DRY SAU MIX,BOXED,UNCKD",368,14.97,3.42,69.21,9.61,7,682,3.18,114,1.151,394,0.7,0.13,0
22960,"MACARONI & CHS DINNER W/ DRY SAU MIX,BOXED,PREP",173,6.07,5.77,24.31,5.47,4,336,1.3,72,1.176,126,0,0.52,
22961,"HOT POCKETS,MEATBALLS & MOZZARELLA STUFFED SNDWCH,FRZ",253,9.32,10.47,30.45,7.73,20,448,2.08,181,4.007,204,0.6,0.69,0.2
22962,"LEAN POCKETS,HAM N CHEDDAR",230,10.28,6.53,32.52,7.6,20,494,2.15,196,2.389,203,0.1,0.29,0.2
22963,"LEAN POCKETS,MEATBALLS & MOZZARELLA",240,10.49,7.7,32.28,8.81,20,557,2.06,196,3.087,221,,,
22965,"CAMPBELL SOUP COMPANY,SPAGHETTIOS ORIGINAL,EASY OPEN",70,2.35,0.47,14.55,4.23,2,225,0.85,9,0.235,178,0,0,
22966,"CAMPBELL SOUP COMPANY,SPAGHETTIOS,W/ MEATBALLS -",87,4.37,2.43,11.65,3.4,10,238,1.75,49,0.971,248,2.9,0,0.5
22969,"CHILI W/ BNS,MICROWAVABLE BOWLS",100,5.85,3.68,10.88,1.84,10,385,1.13,34,1.372,245,0.8,0.64,0
22970,"MACARONI & CHS,FRZ ENTREE",149,5.6,6.41,17.28,1.53,10,290,0.57,114,2.608,95,0,0.25,0
22971,POTATO SALAD W/ EGG,157,1.96,9.4,16.18,4.95,17,329,0.5,15,1.437,242,0.8,0.68,0.1
22972,PULLED PORK IN BARBECUE SAU,168,13.19,4.42,18.74,15.2,35,666,1.24,44,1.416,305,0.2,0.89,0.2
22973,"CORN DOGS,FRZ,PREP",267,7.93,12.95,29.71,8.82,36,628,1.86,56,3.794,136,0.5,0.46,0.4
22974,"CHICKEN,NUGGETS,DK & WHITE MEAT,PRECKD,FRZ,NOT REHTD",260,12.48,16.13,16.32,0.8,31,563,0.82,18,3.179,219,0,1.18,0.3
22975,"CHICKEN,NUGGETS,WHITE MEAT,PRECKD,FRZ,NOT REHTD",257,13.17,15.65,15.88,1.27,34,583,1.09,29,3.366,249,0,1.18,
22976,"RAVIOLI,CHS W/ TOMATO SAU,FRZ,NOT PREP,INCL REG & LT ENTREES",111,4.52,2.61,17.31,4.09,11,280,0.93,79,1.191,233,2.8,0.98,0.1
23000,"BEEF,SHLDR POT RST OR STK,BNLS,LN & FAT,0"" FAT,ALL GRDS,R",130,21.39,4.97,0,0,66,72,2.62,12,2.033,395,0,0.18,0
23001,"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,ALL GRDS,RAW",247,18.8,18.51,0,0,64,53,1.96,6,7.42,299,0,,
23002,"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD",297,23.51,21.83,0,0,71,64,2.74,8,8.42,321,0,,
23003,"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,SEL,RAW",222,20.72,14.82,0,0,56,54,2.01,6,6.01,309,0,,
23004,"BEEF,SHRT LOIN,PRTRHS STEAK,LN&FAT,1/8""FAT,SEL,CKD,BRLD",294,24.05,21.18,0,0,65,64,2.72,8,8.34,320,0,,
23005,"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,ALL GRDS,RAW",220,19.19,15.32,0,0,57,54,2.12,6,6.14,311,0,,
23006,"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD",280,24.33,19.47,0,0,62,66,2.83,8,7.56,336,0,,
23007,"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,SEL,RAW",192,19.89,11.84,0,0,45,55,2.16,6,4.81,319,0,,
23008,"BEEF,SHRT LOIN,T-BONE STEAK,LN&FAT,1/8""FAT,SEL,CKD,BRLD",265,25.01,17.54,0,0,57,66,2.88,8,6.91,342,0,,
23030,"BEEF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT,0"" FAT,CHOIC,RAW",133,21.41,4.66,0,0,61,62,2.14,5,1.755,378,0,0.17,
23031,"BF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT,0"" FAT,CH,CKD,GRILLED",174,28.79,5.71,0,0,82,55,2.67,5,2.218,365,0,0.2,
23032,"BEEF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT 0"" FAT,SEL,RAW",124,21.96,3.24,0,0,61,57,2.38,5,1.225,386,0,0.17,
23033,"BF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT,0"" FAT,SE,CKD,GRILLED",160,29.24,3.91,0,0,78,52,2.98,5,1.267,365,0,0.19,
23034,"BF,CHK,CLOD,SHLDR TENDER,MEDALLION,LN & FAT,0"" FAT,CHOIC,RAW",145,20.51,6.36,0,0,56,59,2.01,5,2.328,339,0,0.09,
23035,"BF,CHK,CLOD,SHDR TNDR,MED,LN & FAT,0"" FAT,CH,CKD,GRILLED",181,26.07,7.68,0,0,76,60,2.58,5,2.737,361,0,0.17,
23036,"BF,CHK,CLOD,SHLDR TENDER,MEDALLION,LN & FAT,0"" FAT,SEL,RAW",142,20.93,5.79,0,0,58,60,2.39,5,1.988,366,0,0.09,
23037,"BEEF,CHUCK,SHLDR CLOD,TOP & CNTR ,STK,LN & FAT,0"" FAT,CH,RAW",143,20.39,6.12,0,0,57,61,2.14,4,2.083,347,0,0.18,
23038,"BF,CHK,SHLDR CLOD,TOP & CNTR,STK,LN & FAT,0"" FAT,CH,CKD,GRLD",184,26.07,8.11,0,0,74,59,2.57,5,3.031,342,0,0.18,
23039,"BF,CHUCK,SHLDR CLOD, TOP & CNTR,STK,LN & FAT,0"" FAT,SEL,RAW",140,21.13,5.51,0,0,58,58,2.64,4,1.791,370,0,0.18,
23040,"BF,CHK, CLOD,TOP & CNTR,STK,LN & FAT,0"" FAT,SEL,CKD,GRLD",176,26.66,6.94,0,0,77,62,3.23,5,2.235,401,0,0.18,
23041,"BF,CHK,SHLDR CLOD,TOP BLADE,STEAK,LN & FAT,0"" FAT,CHOIC,RAW",182,18.75,11.33,0,0,65,74,2.23,5,4.186,302,0,0.17,
23042,"BF,CHK,CLOD,TOP BLADE,STEAK,LN & FAT,0"" FAT,CH,CKD,GRILLED",228,24.7,13.59,0,0,83,78,2.78,6,5.432,317,0,0.14,
23043,"BF,CHUCK,SHLDR CLOD,TOP BLADE,STEAK,LN & FAT,0"" FAT,SEL,RAW",166,19.38,9.22,0,0,66,75,2.62,6,3.464,324,0,0.16,
23044,"BF,CHK,CLOD,TOP BLADE,STEAK,LN & FAT,0"" FAT,SEL,CKD,GRILLED",212,25.29,11.52,0,0,83,76,3.1,6,4.423,333,0,0.14,
23045,"BEEF,RND,KNUCKLE,TIP CNTR,STEAK,LN & FAT,0"" FAT,CHOIC,RAW",150,20.74,6.85,0,0,58,54,1.94,5,2.3,365,0,0.21,
23046,"BF,RND,KNUCKLE,TIP CNTR,STK,LN & FAT,0"" FAT,CHOIC,CKD,GRLD",188,26.88,8.13,0,0,75,51,2.51,5,2.759,373,0,0.2,
23047,"BEEF,RND,KNUCKLE,TIP CNTR,STEAK,LN & FAT,0"" FAT,SEL,RAW",137,20.98,5.21,0,0,59,53,2.01,5,1.89,360,0,0.2,
23048,"BF,RND,KNUCKLE,TIP CNTR,STEAK,LN & FAT,0"" FAT,SE,CKD,GRILLED",162,26.61,5.32,0,0,74,53,2.49,5,2.063,386,0,0.19,
23049,"BF,RND,OUTSIDE RND,BTTM RND,STEAK,LN & FAT,0"" FAT,CHOIC,RAW",150,21.24,6.59,0,0,61,63,2.34,5,2.301,338,0,0.08,
23050,"BF,RND,OUT RND,BTTM RND,STK,LN & FAT,0"" FAT,CH,CKD,GRILLED",191,27.22,8.3,0,0,78,57,2.92,5,2.954,361,0,0.1,
23051,"BEEF,RND,OUTSIDE RND,BTTM RND,STEAK,LN & FAT,0"" FAT,SEL,RAW",129,22.15,3.83,0,0,61,62,2.91,5,1.4,360,0,0.07,
23052,"BEEF,RND,OUT RND,BTTM RND,STK,LN & FAT,0"" FAT,SEL,CKD,GRLD",166,28.01,5.17,0,0,75,60,3.12,5,1.716,368,0,0.1,
23053,"BF,CHK,CLD,SHLDR TNDR,MEDALLION,LN & FAT,0"" FAT,ALL GRDS,RAW",144,20.54,6.22,0,0,57,58,1.95,5,2.088,327,0,0.09,
23054,"BF,CHK,CLD,SHDR TNDR,MED,LN & FAT,0"" FAT,ALL GRDS,CK,GRLD",177,26.22,7.2,0,0,78,59,2.59,5,2.833,356,0,0.17,
23055,"BEEF,RND,KNUCKLE,TIP SIDE,STEAK,LN & FAT,0"" FAT,ALL GRDS,RAW",129,21.69,4,0,0,61,61,2.22,5,1.578,381,0,0.17,
23056,"BF,RND,KNUCK,TIP SIDE,STK,LN & FAT,0"" FAT,ALL GRDS,CKD,GRLD",168,29.08,4.84,0,0,80,54,2.77,5,1.901,365,0,0.2,
23057,"BF,CHUCK,CLOD,TOP & CNTR,STEAK,LN & FAT,0"" FAT,ALL GRDS,RAW",141,20.67,5.88,0,0,57,60,2.31,4,1.985,355,0,0.18,
23058,"BEEF,CHCK,CLOD,SHLDR TOP&CNTR STKS,LN & FT,0"",ALL GRDS,GRLD",182,26.3,7.66,0,0,76,60,2.79,5,2.765,361,0,0.18,
23059,"BEEF,CHUCK,CLOD,TOP BLADE,STEAK,LN & FAT,0"" FAT,ALL GRDS,RAW",176,18.99,10.52,0,0,66,74,2.36,6,3.945,309,0,0.17,
23060,"BF,CHUCK,CLOD,TOP BLADE,STK,LN & FAT,0"" FAT,ALL,CKD,GRLD",222,24.93,12.79,0,0,83,77,2.88,6,5.095,322,0,0.14,
23061,"BEEF,RND,KNUCKLE,TIP CNTR,STEAK,LN & FAT,0"" FAT,ALL GRDS,RAW",143,20.93,5.89,0,0,59,54,1.96,5,2.163,363,0,0.21,
23062,"BF,RND,KNUCKLE,TIP CNTR,STK,LN & FAT,0"" FAT,ALL,CKD,GRLD",177,27.12,6.78,0,0,77,52,2.51,5,2.527,377,0,0.2,
23063,"BF,RND,OUTSIDE RND,BTTM RND,STEAK,LN & FAT,0"" FAT,ALL,RAW",142,21.59,5.53,0,0,61,62,2.53,5,2,345,0,0.08,
23064,"BF,RND,OUT RND,BTTM RND,STK,LN & FAT,0"" FAT,ALL GRDS,CK,GRLD",182,27.52,7.1,0,0,77,58,2.99,5,2.541,363,0,0.1,
23065,"BF,CHK, CLOD,SHLDR TENDER,MED,LN & FAT,0"" FAT,SE,CKD,GRILLED",172,26.45,6.43,0,0,80,58,2.6,5,1.7,348,0,0.17,
23066,"BEEF,CHUCK,SHRT RIBS,BNLESS,LN,0"" FAT,CHOIC,RAW",175,19.38,10.7,0.29,0,73,81,2.53,11,4.691,313,0,0.17,0.1
23067,"BEEF,CHUCK,SHRT RIBS,BNLESS,LN,0"" FAT,SEL,RAW",161,20.14,8.99,0,0,80,93,2.34,12,4.156,303,0,0.16,0.1
23068,"BEEF,CHUCK,SHRT RIBS,BNLESS,LN,0"" FAT,ALL GRDS,RAW",169,19.68,10.02,0.05,0,76,85,2.45,12,4.477,307,0,0.17,0.1
23069,"BEEF,CHUCK EYE COUNTRY-STYLE RIBS,BNLESS,LN,0"" FAT,CHOIC,CKD",234,30.95,12.22,0,0,100,69,2.97,17,5.447,279,0,0.12,0.2
23070,"BEEF,CHUCK EYE COUNTRY-STYLE RIBS,BNLESS,LN,0"" FAT,SEL,CKD,B",221,32.1,10.24,0,0,99,70,2.86,16,5.002,292,0,0.05,0.1
23071,"BF,CHK EYE CNTRY-STL RIBS,BNLS,LN,0"" FAT,ALL GRDS, CKD, BRSD",228,31.41,11.43,0,0,99,69,2.93,17,5.269,286,0,0.1,0.1
23072,"BEEF,CHUCK EYE COUNTRY-STYLE RIBS,BNLESS,LN,0"" FAT,CHOIC,RAW",152,20.87,7.67,0,0,70,81,2.31,15,3.419,330,0,0.2,0.1
23073,"BEEF,CHUCK EYE COUNTRY-STYLE RIBS,BNLESS,LN,0"" FAT,SEL,RAW",137,21.1,5.89,0,0,71,82,2.08,15,2.686,293,0,0.12,0.1
23074,"BEEF,CHK EYE COUNTRY-STYLE RIBS,BNLS,LN,0"" FAT,ALL GRDS, RAW",146,20.96,6.95,0,0,70,82,2.24,15,3.126,317,0,0.17,0.1
23075,"BEEF,CHUCK EYE STEAK,BNLESS,LN,0"" FAT,CHOIC,CKD,GRILLED",215,27.97,11.47,0,0,86,75,2.88,16,4.895,391,0,0.11,0.1
23076,"BEEF,CHUCK EYE STEAK,BNLESS,LN,0"" FAT,SEL,CKD,GRILLED",199,27.88,9.77,0,0,91,74,2.81,19,5.004,356,0,0.1,0.1
23077,"BEEF,CHUCK EYE STEAK,BNLESS,LN,0"" FAT,ALL GRDS,CKD,GRILLED",209,27.94,10.79,0,0,88,75,2.87,17,4.938,380,0,0.11,0.1
23078,"BEEF,CHUCK EYE STEAK,BNLESS,LN,0"" FAT,CHOIC,RAW",160,21.31,8.29,0,0,66,70,2.27,15,3.605,371,0,0.17,0.1
23079,"BEEF,CHUCK EYE STEAK,BNLESS,LN,0"" FAT,SEL,RAW",143,21.28,6.47,0,0,69,73,2.33,15,2.759,388,0,0.15,0.1
23080,"BEEF,CHUCK EYE STEAK,BNLESS,LN,0"" FAT,ALL GRDS,RAW",153,21.29,7.56,0,0,67,70,2.28,15,3.267,371,0,0.17,0.1
23081,"BEEF,SHLDR POT RST,BNLESS,LN,0"" FAT,CHOIC,CKD,BRSD",200,31.32,8.3,0,0,97,60,3.76,13,2.835,358,0,0.13,0.1
23082,"BEEF,SHLDR POT RST,BNLESS,LN,0"" FAT,SEL,CKD,BRSD",190,31.71,7.02,0,0,99,63,3.36,13,2.239,360,0,0.08,0.1
23083,"BEEF,SHLDR POT RST,BNLESS,LN,0"" FAT,ALL GRDS,CKD,BRSD",196,31.48,7.78,0,0,98,61,3.6,13,2.596,359,0,0.11,0.1
23084,"BEEF,CHUCK,MOCK TENDER STEAK,BNLESS,LN,0"" FAT,CHOIC,CKD,BRSD",197,33.55,6.94,0,0,113,67,3.53,15,2.708,315,0,0.11,0.1
23085,"BEEF,CHUCK,MOCK TENDER STEAK,BNLESS,LN,0"" FAT,SEL,CKD,BRSD",181,32.96,5.44,0,0,117,70,3.32,15,2.238,298,0,0.1,0.1
23086,"BEEF,CHK,MOCK TENDER STK,BNLS,LN,0"" FAT,ALL GRDS,CKD,BRSD",190,33.31,6.34,0,0,115,68,3.42,15,2.52,309,0,0.11,0.1
23087,"BEEF,CHUCK,MOCK TENDER STEAK,BNLESS,LN,0"" FAT,CHOIC,RAW",127,21.36,4.6,0,0,67,83,2.51,11,1.884,349,0,0.19,0.1
23088,"BEEF,CHUCK,MOCK TENDER STEAK,BNLESS,LN,0"" FAT,SEL,RAW",117,21.22,3.53,0,0,68,76,2.26,11,1.684,344,0,0.2,0.1
23089,"BEEF,CHUCK,MOCK TENDER STEAK,BNLESS,LN,0"" FAT,ALL GRDS,RAW",123,21.3,4.17,0,0,67,81,2.44,11,1.804,346,0,0.2,0.1
23090,"BEEF,CHUCK FOR STEW,LN & FAT,ALL GRDS,CKD,BRSD",191,32.41,6.82,0,0,99,67,2.96,16,2.894,319,0,0.11,0.1
23091,"BEEF,CHUCK FOR STEW,LN & FAT,SEL,CKD,BRSD",186,32.29,6.34,0,0,102,68,2.84,15,2.514,320,0,0.07,0.1
23092,"BEEF,CHUCK FOR STEW,LN & FAT,CHOIC,CKD,BRSD",194,32.49,7.14,0,0,96,65,3.06,17,3.147,315,0,0.13,0.1
23093,"BEEF,CHUCK FOR STEW,LN & FAT,ALL GRDS,RAW",128,21.75,4.48,0.16,0,64,80,2.12,13,1.941,367,0,0.17,0.1
23094,"BEEF,CHUCK FOR STEW,LN & FAT,SEL,RAW",124,21.9,3.99,0.21,0,66,81,2.2,14,1.748,359,0,0.15,0.1
23095,"BEEF,CHUCK FOR STEW,LN & FAT,CHOIC,RAW",130,21.64,4.81,0.12,0,63,79,2.09,13,2.07,373,0,0.18,0.1
23096,"BEEF,CHUCK,UNDER BLADE STEAK,BNLESS,LN,0"" FAT,CHOIC,CKD,BRSD",222,30.91,10.91,0,0,106,65,3.25,14,4.253,312,0,0.1,0.2
23097,"BEEF,CHUCK,UNDER BLADE STEAK,BNLESS,LN,0"" FAT,SEL,CKD,BRSD",215,32.01,9.66,0,0,108,66,3.15,14,3.567,303,0,0.06,0.1
23098,"BEEF,CHUCK,UND BL STEAK,BNLS,LN,0"" FAT,ALL GRDS,CKD,BRSD",219,31.35,10.41,0,0,107,65,3.21,14,3.981,308,0,0.09,0.1
23099,"BEEF,CHK,UND BLD, POT RST,BNL,LN & FAT,0"" FAT,ALL GR,CKD,BR",291,26.7,20.49,0,0,99,62,2.68,14,8.261,262,0,0.08,0.1
23100,"BEEF,RIB EYE STK,BNLES,LIP-ON,LN,1/8"" FAT,ALL GRDS,CKD,GRLD",207,27.97,10.57,0,0,79,59,2.53,7,4.2,296,0,0.1,0.1
23101,"BEEF,RIB EYE RST,BONE-IN,LIP-ON,LN,1/8"" FAT,CHOIC,CKD,RSTD",240,27.18,14.55,0,0,83,68,2.37,11,5.606,296,0,0.12,0.1
23102,"BEEF,CHK,UND BL POT RST/STK,BNL,LN & FT,0"" FT, All GR, raw",196,19.17,13.26,0,0,66,76,2.19,12,5.726,336,0,0.16,0.1
23103,"BEEF,CHK,UND BL POT RST OR STK,BNL,LN & FAT,0"" FAT, CH, RAW",202,19.15,13.93,0,0,66,76,2.13,12,5.896,329,0,0.16,0.1
23104,"BEEF,CHK,UND BL POT RST/STEAK,BNL,LN & FAT,0"" FAT, SEL, RAW",187,19.2,12.27,0,0,66,77,2.27,12,5.473,347,0,0.17,0.1
23105,"BEEF,CHK,UND BL CNTR STK,BNL,DEN CUT,LN & FAT, ALL GR, CKD",227,26.18,13.54,0.21,0,93,73,3.26,13,5.692,310,0,0.08,0.1
23106,"BEEF,CHK,UND BLE CNTR STK,BNL,DEN CT,LN&FT, 0"" FT,CH,CKD,GLD",236,26.1,14.41,0.4,0,89,73,3.27,12,5.963,313,0,0.09,0.1
23107,"BEEF,CHK,UNDBL CNTR STK,BNL,DEN CT,LN&FAT, 0"" FT,SEL,CKD,GLD",215,26.3,12.25,0,0,98,73,3.31,16,5.285,301,0,0.07,0.1
23108,"BEEF,CHK,UND BL CNTR STK,BNL,DEN CUT,LN & FT,0""FT,All Gr, RW",182,18.99,11.64,0.36,0,69,76,2.38,11,4.831,315,0,0.14,0.1
23109,"BEEF,CHK,UNDBLE CNTR STK,BNL,DENR CUT,LN & FAT,0""FAT, CH, RW",189,18.85,12.4,0.53,0,70,75,2.37,11,5.137,312,0,0.15,0.1
23110,"BEEF,CHK,UND BLE CNTR STK,BNL,DEN CUT,LN & FT,0""FT, SEL,RW",172,19.2,10.5,0.09,0,68,76,2.38,11,4.37,320,0,0.12,0.1
23111,"BEEF,SHLDR POT RST OR STEAK,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW",133,21.17,5.33,0.07,0,64,74,2.66,12,2.124,403,0,0.19,0
23112,"BEEF,SHLDR POT RST OR STEAK,BNLESS,LN & FAT,0"" FAT,SEL,RAW",127,21.72,4.44,0,0,68,70,2.56,12,1.897,383,0,0.16,0
23113,"BEEF,CHK EYE RST,BNLS,A BF RST,LN & FAT,0"",ALL GRD,CKD,RSTD",236,24.63,15.29,0,0,83,76,2.22,18,6.354,308,0,0.11,0.1
23114,"BEEF,CHK EYE RST,BNLS,A BF RST,LN & FAT,0"",CH,CKD,RSTD",241,24.47,15.87,0,0,84,75,2.28,18,6.462,307,0,0.13,0.1
23115,"BEEF,CHCK EYE RST,BNLS,A BF RST,LN & FAT,0"",SEL,C,RSTD",229,24.86,14.41,0,0,81,76,2.16,19,6.192,312,0,0.07,0.1
23116,"BEEF,CHUCK,UNDER BLADE STEAK,BNLESS,LN & FAT,0"" FAT,ALL GRDS",275,28.23,18,0,0,96,65,2.8,14,7.256,273,0,0.08,0.1
