ID,Description,Calories,Protein,TotalFat,Carbohydrate,Sugar,Cholesterol,Sodium,Iron,Calcium,SaturatedFat,Potassium,VitaminC,VitaminE,VitaminD
6363,"CAMPBELL'S RED & WHITE,HOMESTYLE CHICK NOODLE SOUP,COND",56,3.17,1.59,7.94,0.79,8,516,0.29,0,0.397,508,0,,
6364,"CAMPBELL'S RED & WHITE,MANHATTAN CLAM CHOWDER,COND",48,1.59,0.4,9.52,1.59,0,698,0.57,16,0.397,198,1,,
6365,"CAMPBELL'S RED & WHITE,MEGA NOODLE IN CHICK BROTH,COND",71,2.38,1.59,11.9,0.79,12,381,0.57,0,0.397,437,0,,
6366,"CAMPBELL'S RED & WHITE,MINESTRONE SOUP,COND",71,3.17,0.79,13.49,2.38,4,516,0.86,16,0.397,833,0,,
6367,"CAMPBELL'S RED & WHITE,NEW ENGLAND CLAM CHOWDER,COND",71,3.17,1.98,10.32,0.79,4,516,0.57,16,0.397,516,0,,
6369,"COMPANY,CAMPBELL'S RED & WHITE,OYSTER STEW,COND",63,2.38,4.76,2.38,0,16,722,1.43,0,2.381,20,0,,
6370,"SOUP COMPANY,CAMPBELL'S RED & WHITE,PEPPER POT SOUP,COND",71,3.97,3.17,7.14,0.79,20,778,0.57,16,1.19,,0,,
6371,"CAMPBELL SOUP COMPANY,CAMPBELL'S RED & WHT,SCOTCH BRTH,COND",48,2.42,0.81,8.06,0.81,4,694,0.29,0,0,,0,,
6372,"CAMPBELL'S RED & WHITE,STHWEST STYLE PEPPER JCK SP,COND",89,1.61,4.84,10.48,2.42,4,710,0,16,1.613,,0,,
6373,"CAMPBELL'S RED & WHITE,VEGETARIAN VEG SOUP,COND",71,2.38,0.4,14.29,4.76,0,381,0.57,16,0,698,0,,
6374,"CAMPBELL SOUP COMPANY,CAMPBELL'S RED & WHITE,VEG SOUP,COND",79,3.17,0.4,16.67,5.56,4,516,0.57,16,0.397,579,,,
